season,hitterTeam,ballpark,distance,speedOffBat,elevationAngle,horizAngle,apex
2006,LAA,Angel Stadium,413,100.6,28.9,96.2,92
2006,LAA,Angel Stadium,395,98.1,27.7,95.6,81
2006,LAA,Angel Stadium,379,100.1,27.3,111.8,71
2006,OAK,Angel Stadium,371,104.5,25,123.5,60
2006,OAK,Angel Stadium,410,101.1,26.6,89,88
2006,LAA,Angel Stadium,409,102.5,27.9,78.4,91
2006,OAK,Angel Stadium,398,99.8,28.7,100.2,92
2006,LAA,Angel Stadium,372,100.1,31.7,58.4,90
2006,LAA,Angel Stadium,255,84.9,22.5,58.8,34
2006,LAA,Angel Stadium,394,101.1,23.2,93.4,71
2006,TEX,Angel Stadium,417,106.3,29.3,73.9,108
2006,LAA,Angel Stadium,408,102.1,25.3,85.2,85
2006,TEX,Angel Stadium,387,101.1,27.8,107.3,84
2006,LAA,Angel Stadium,407,105.2,22.4,97.2,69
2006,TEX,Angel Stadium,388,103.8,28.4,64.1,85
2006,LAA,Angel Stadium,423,107.6,23.4,99.7,73
2006,LAA,Angel Stadium,399,105.1,32.2,122.5,101
2006,LAA,Angel Stadium,383,96.8,32,75.2,96
2006,LAA,Angel Stadium,386,103.2,29.1,124.6,77
2006,LAA,Angel Stadium,444,108.4,26.1,98.6,95
2006,TOR,Angel Stadium,410,102.4,27.6,100.2,90
2006,LAA,Angel Stadium,432,106.2,24.7,85.7,85
2006,LAA,Angel Stadium,395,104.3,38.2,114,141
2006,LAA,Angel Stadium,395,109.5,18.8,97.9,51
2006,BAL,Angel Stadium,393,102.1,26.8,106.4,81
2006,BAL,Angel Stadium,384,98,29.9,78.3,96
2006,BAL,Angel Stadium,370,101.1,27.8,61.3,74
2006,LAA,Angel Stadium,386,96.7,32.1,77.6,98
2006,NYY,Angel Stadium,418,102.8,30.6,80.2,109
2006,NYY,Angel Stadium,396,101.9,24,97.9,70
2006,NYY,Angel Stadium,383,99.2,27.7,74.1,79
2006,NYY,Angel Stadium,383,100,28.2,109.7,80
2006,NYY,Angel Stadium,427,109,27,71.7,93
2006,LAA,Angel Stadium,396,101.3,26.8,101.8,85
2006,LAA,Angel Stadium,373,99.3,29.3,67.6,85
2006,BOS,Angel Stadium,431,113.6,25.9,63.7,83
2006,BOS,Angel Stadium,397,98.2,29.2,99.5,86
2006,BOS,Angel Stadium,375,97.6,38.3,113.2,123
2006,LAA,Angel Stadium,400,97.5,35.7,99.6,117
2006,SEA,Angel Stadium,408,101.6,24.9,90,73
2006,SEA,Angel Stadium,411,103.7,23.8,85.7,70
2006,LAA,Angel Stadium,382,95.7,37.4,78.9,121
2006,LAA,Angel Stadium,402,98.2,29.7,90.8,95
2006,LAA,Angel Stadium,405,104.8,27.7,113.2,80
2006,LAA,Angel Stadium,339,95.6,28.7,52.6,64
2006,LAA,Angel Stadium,387,105.1,27.8,121.5,78
2006,LAA,Angel Stadium,380,102.2,24.7,107.3,68
2006,LAA,Angel Stadium,388,107.4,25.9,51.5,65
2006,TEX,Angel Stadium,363,95.3,36.4,120.4,101
2006,LAA,Angel Stadium,471,117.1,20.8,95.7,77
2006,TEX,Angel Stadium,426,105.5,27.7,80.2,100
2006,LAA,Angel Stadium,409,106.3,32.3,113.1,115
2006,OAK,Angel Stadium,403,104.7,23.6,100.7,73
2006,LAA,Angel Stadium,408,102.6,25.4,98.8,74
2006,OAK,Angel Stadium,408,99.6,31.9,102.7,101
2006,OAK,Angel Stadium,395,98.2,31.4,74.2,93
2006,LAA,Angel Stadium,403,101.1,26,97.6,78
2006,CLE,Angel Stadium,403,101.4,28.6,74.8,88
2006,CLE,Angel Stadium,0,0,0,0,0
2006,LAA,Angel Stadium,440,105.6,28.1,98.3,95
2006,LAA,Angel Stadium,401,98,32.6,101.4,101
2006,LAA,Angel Stadium,405,103.1,25.9,100.7,85
2006,CLE,Angel Stadium,388,99.7,27.8,77.9,88
2006,LAA,Angel Stadium,377,104.4,27,56.9,72
2006,CLE,Angel Stadium,368,98.9,32.4,113.7,101
2006,LAA,Angel Stadium,405,105.6,29.4,113.3,96
2006,LAA,Angel Stadium,401,102,24.1,84.1,75
2006,LAA,Angel Stadium,416,108,23.9,105.7,71
2006,LAA,Angel Stadium,351,95.3,31.1,54.1,74
2006,LAA,Angel Stadium,383,99.1,25.9,80.2,79
2006,LAA,Angel Stadium,363,108.4,22,125.7,51
2006,LAD,Angel Stadium,410,99.3,29.2,89.1,92
2006,COL,Angel Stadium,393,102,22.7,95.9,68
2006,LAA,Angel Stadium,382,104,24.6,111,67
2006,COL,Angel Stadium,404,100.9,28.5,83.8,100
2006,COL,Angel Stadium,380,101.7,28.2,66,82
2006,SD,Angel Stadium,401,98.1,30.9,91.1,102
2006,SD,Angel Stadium,397,102.6,25.3,76.3,73
2006,LAA,Angel Stadium,397,97.9,35.5,74.8,114
2006,LAA,Angel Stadium,342,93.9,30.7,126.4,70
2006,LAA,Angel Stadium,418,103,28.9,91.4,111
2006,SD,Angel Stadium,409,105.5,30.8,73.2,115
2006,LAA,Angel Stadium,397,101.9,24.6,81.6,77
2006,LAA,Angel Stadium,471,114,28.6,100.5,125
2006,KC,Angel Stadium,408,104.4,25.8,101.5,88
2006,LAA,Angel Stadium,399,101.6,27.2,105.3,80
2006,KC,Angel Stadium,407,106.8,21.9,81,68
2006,SEA,Angel Stadium,404,106.4,28.5,62.7,86
2006,SEA,Angel Stadium,392,100.5,28.1,75.4,86
2006,SEA,Angel Stadium,403,101.6,24.1,91.1,79
2006,LAA,Angel Stadium,401,106,31.7,111.2,117
2006,SEA,Angel Stadium,389,101.1,25.4,78.5,77
2006,SEA,Angel Stadium,387,104.5,23.1,75.1,65
2006,LAA,Angel Stadium,380,102.3,32.6,114.8,109
2006,SEA,Angel Stadium,395,96.7,33.2,98.1,105
2006,MIN,Angel Stadium,413,103,24.7,91.6,85
2006,MIN,Angel Stadium,408,107,19.4,89.4,60
2006,LAA,Angel Stadium,390,105.4,26.6,116.6,76
2006,MIN,Angel Stadium,358,103.9,24.4,130.8,54
2006,LAA,Angel Stadium,403,101.8,25.5,84.4,88
2006,LAA,Angel Stadium,398,107.4,26.2,115,79
2006,LAA,Angel Stadium,383,103.8,30.8,117.8,99
2006,LAA,Angel Stadium,399,106,29.9,64.9,100
2006,LAA,Angel Stadium,295,99.2,19.6,52.5,35
2006,LAA,Angel Stadium,403,101.6,26.2,85.5,93
2006,TOR,Angel Stadium,351,98.8,27.6,58.7,70
2006,LAA,Angel Stadium,407,103.5,28.1,99.6,105
2006,LAA,Angel Stadium,395,100.5,30.9,72.9,99
2006,SEA,Angel Stadium,395,106.9,23.7,70.2,64
2006,SEA,Angel Stadium,392,102.7,31.1,117.4,94
