season,hitterTeam,ballpark,distance,speedOffBat,elevationAngle,horizAngle,apex,avgDist
2006,DET,PNC Park,462,116.2,28.3,59.8,98,398.4254
2007,CHW,PNC Park,446,110.7,26.7,104.5,97,377.5745
2008,PIT,PNC Park,442,110.8,20.7,89,71,400.9869
2009,FLA,PNC Park,458,112.7,29.7,109.1,110,399.951
2010,PIT,PNC Park,438,109.2,28.5,108.3,99,396.6769
2011,PIT,PNC Park,453,107.6,27.9,84.5,104,400.0348
2012,PIT,PNC Park,456,110.7,24.2,84.5,90,399.08
2013,PIT,PNC Park,456,114.4,28.4,70,109,403.0755
2014,MIL,PNC Park,457,109.1,28.4,90.7,119,398.9068
2015,PIT,PNC Park,460,111.6,29.9,78.7,126,404.7
2016,PIT,PNC Park,450,111.9,21,90,73,402.3243
2008,DET,Progressive Field,443,111.8,20.7,86.6,70,392.2532468
2009,STL,Progressive Field,443,106.5,29.9,100,110,391.615942
2010,CLE,Progressive Field,438,106.3,25.7,85.6,89,394.4776119
2011,TEX,Progressive Field,459,112.1,26.4,102.2,100,393.9683544
2012,CLE,Progressive Field,444,111.4,28.6,69.3,103,388.966443
2013,CLE,Progressive Field,457,112.7,28.7,106.1,113,393.7393939
2014,CLE,Progressive Field,446,109.4,23.9,84.2,81,388.4444444
2015,CHC,Progressive Field,452,108.3,25.5,91.2,98,396.2147651
2016,CLE,Progressive Field,467,112.3,29.8,102.8,123,401.6069652
2006,NYY,Rogers Centre,472,113.3,27.5,78.5,113,400.6837209
2007,TOR,Rogers Centre,472,117.6,23.6,103.3,88,389.9306358
2008,TB,Rogers Centre,450,108.4,25.8,90.2,100,395.768
2009,DET,Rogers Centre,460,113.9,23,98.9,84,399.1649485
2010,TEX,Rogers Centre,467,113.4,25.4,99.3,101,400.8141593
2011,TOR,Rogers Centre,456,114.5,23.4,102,84,401.7020202
2012,TOR,Rogers Centre,488,118.9,24,101.5,97,405.0441176
2013,BOS,Rogers Centre,472,113.5,23.1,90.5,92,403.635514
2014,LAA,Rogers Centre,468,116.9,21.9,99,80,404.4247312
2015,TOR,Rogers Centre,471,116.4,23,99.9,87,407.0640394
2016,BOS,Rogers Centre,467,112.8,22.9,89.3,89,404.1428571
2006,SEA,Safeco Field,441,110.4,28,106.1,105,388.5449102
2007,TEX,Safeco Field,462,116.3,23.5,76.4,85,383.1973684
2008,LAA,Safeco Field,443,107.6,28.5,90.8,120,387.037037
2009,TEX,Safeco Field,459,118.3,23.4,108.3,80,389.474359
2010,LAA,Safeco Field,445,115.1,24,71.1,79,386.4854369
2011,TOR,Safeco Field,439,111.6,23.6,102.1,83,387.7089552
2012,SEA,Safeco Field,445,111.3,29.4,109.1,110,394.0172414
2013,TB,Safeco Field,443,112.4,22.8,100.6,78,391.4117647
2014,NYM,Safeco Field,444,110.4,26.8,76.2,99,384.8285714
2015,SEA,Safeco Field,455,111,26.9,101,104,395.2666667
2016,SEA,Safeco Field,457,109.9,27.6,102.3,101,393.6239316
2010,DET,Target Field,448,111,31.6,73.1,129,390.3448276
2011,MIN,Target Field,464,111.4,25.2,83.6,97,391.7698413
2012,PHI,Target Field,459,109.8,25.2,88.1,95,393.4011976
2013,TB,Target Field,444,108.8,27.6,100.8,106,394.0633803
2014,MIN,Target Field,446,111.9,26.9,79.2,115,392.0863309
2015,HOU,Target Field,457,111,23.1,92.3,85,396.7682927
2016,MIN,Target Field,466,112.9,22.6,91.7,91,398.1320755
2006,BOS,Tropicana Field,460,111.7,22.9,89.6,87,387.7437186
2007,NYY,Tropicana Field,465,117.6,25.2,71.1,92,387.9281768
2008,TB,Tropicana Field,466,119,25.3,67.5,91,388.1753247
2009,NYY,Tropicana Field,469,117.2,24.3,75.3,91,390.6054054
2010,BAL,Tropicana Field,456,111.5,30.1,79.8,130,392.4444444
2011,SEA,Tropicana Field,468,117.5,20.4,95.8,74,391.3987342
2012,TB,Tropicana Field,456,109.6,25.2,89.1,99,398.810219
2013,LAA,Tropicana Field,458,112.1,23.6,96.4,88,394.1858974
2014,CHW,Tropicana Field,468,114.8,22.8,97,87,390.7692308
2015,NYY,Tropicana Field,477,115.3,24.1,97.4,97,395.6091954
2016,NYY,Tropicana Field,453,110.6,26.8,80,104,394.2763819
2006,HOU,Turner Field,476,112.7,27.9,77.6,105,407.0205128
2007,ATL,Turner Field,480,116.7,22.8,83,89,392.4176471
2008,NYM,Turner Field,451,109.2,25.1,94.4,95,403.5
2009,PHI,Turner Field,473,115.3,24.8,79,98,403.3145161
2010,WSH,Turner Field,479,113.1,26.1,84.2,107,404.3358209
2011,PHI,Turner Field,470,113.1,23,91.2,89,408.5241379
2012,COL,Turner Field,450,110.1,23.3,85.5,82,404.7753623
2013,NYM,Turner Field,464,115.5,20.5,86,84,401.1418919
2014,ATL,Turner Field,477,116.5,28.6,109,114,406.4806202
2015,ATL,Turner Field,453,114.8,26.5,107.2,105,399.3097345
2016,ATL,Turner Field,445,108,27.5,98.6,104,400.8846154
2006,CHW,U.S. Cellular Field,458,110.4,23.7,89.7,89,396.291498
2007,CHW,U.S. Cellular Field,445,107.8,25.5,94.4,93,377.43
2008,CHW,U.S. Cellular Field,471,114.6,21.7,89.2,83,391.6769912
2009,CHW,U.S. Cellular Field,464,113.1,25.7,102.4,93,389.625
2010,CHW,U.S. Cellular Field,440,106.8,28.7,74.6,97,391.3298429
2011,CHW,U.S. Cellular Field,451,107.9,27.7,82.5,102,393.2168675
2012,CHC,U.S. Cellular Field,454,113,20.4,90.5,73,398.2850877
2013,CHW,U.S. Cellular Field,452,110.7,22.6,90.4,87,391.9832402
2014,MIN,U.S. Cellular Field,468,116.5,28.9,69.3,117,390.1059603
2015,CHW,U.S. Cellular Field,448,108.7,28.7,93,123,395.2547771
2016,BAL,U.S. Cellular Field,451,115.2,25.9,68,89,392.2378378
2006,STL,Wrigley Field,456,114.4,21.2,95.9,72,404.3422819
2007,CHC,Wrigley Field,495,115.4,28.9,105.5,110,404.9691358
2008,CIN,Wrigley Field,486,119.3,28.8,66.9,115,403.6788991
2009,CHC,Wrigley Field,464,112.3,24.5,83.7,95,391.2580645
2010,CHC,Wrigley Field,463,115.4,24.7,105.6,87,388
2011,WSH,Wrigley Field,466,109.9,25.8,91.8,97,403.2192982
2012,MIL,Wrigley Field,460,110.9,23.9,93.3,86,403.765625
2013,CHC,Wrigley Field,475,115,24.5,76.9,86,391.6666667
2014,CHC,Wrigley Field,466,115,25.3,75.6,93,401.923913
2015,CHC,Wrigley Field,467,112.6,28.2,105.7,105,404.2948718
2016,CHC,Wrigley Field,461,115.1,27.9,109.6,108,398.0666667
2009,PHI,Yankee Stadium,477,113.2,25.6,82.7,99,389.4177215
